words,num,freq
aaaah,52821,4.31E-05
aaaai,33992,2.77E-05
aaace,60117,4.90E-05
aaacn,161080,0.000131308
aaahh,20882,1.70E-05
aaand,23967,1.95E-05
aaaol,12802,1.04E-05
aaasc,20522,1.67E-05
aacap,23248,1.90E-05
aacom,40202,3.28E-05
aacsb,130345,0.000106254
aacte,17889,1.46E-05
aadac,23496,1.92E-05
aaene,41365,3.37E-05
aaeon,82110,6.69E-05
aafco,23019,1.88E-05
aafes,83243,6.79E-05
aahhh,16002,1.30E-05
aahsa,30915,2.52E-05
aajtk,35438,2.89E-05
aaker,33435,2.73E-05
aalas,18391,1.50E-05
aalbc,18605,1.52E-05
aalen,33342,2.72E-05
aalib,109777,8.95E-05
aalim,13211,1.08E-05
aalpd,33575,2.74E-05
aalst,97834,7.98E-05
aalto,148931,0.000121404
aaman,15377,1.25E-05
aamas,36152,2.95E-05
aamco,108070,8.81E-05
aamer,32753,2.67E-05
aames,81909,6.68E-05
aamft,24262,1.98E-05
aamir,149997,0.000122273
aamva,22829,1.86E-05
aanet,15165,1.24E-05
aaohn,20332,1.66E-05
aaoms,16846,1.37E-05
aapbl,14696,1.20E-05
aapne,15484,1.26E-05
aapno,27335,2.23E-05
aaraa,62517,5.10E-05
aarau,51277,4.18E-05
aarde,34374,2.80E-05
aards,26351,2.15E-05
aarez,27321,2.23E-05
aargh,71592,5.84E-05
aarne,16989,1.38E-05
aaron,11698784,0.009536529
aarti,63273,5.16E-05
aarts,38034,3.10E-05
aascu,13809,1.13E-05
aasen,19449,1.59E-05
aasia,21938,1.79E-05
aasis,19342,1.58E-05
aasld,17678,1.44E-05
aatcc,27305,2.23E-05
aathi,13460,1.10E-05
aaton,17611,1.44E-05
aatsr,17258,1.41E-05
aavan,21273,1.73E-05
aavid,18054,1.47E-05
aavso,235338,0.000191841
aayla,22039,1.80E-05
aazak,27301,2.23E-05
ababa,514159,0.000419128
abaca,79841,6.51E-05
aback,272920,0.000222477
abaco,225849,0.000184106
abadi,101263,8.25E-05
abaft,19188,1.56E-05
abair,32093,2.62E-05
