word	fixes
manly	56
molar	0
havoc	0
impel	0
condo	0
judge	0
extra	0
poise	0
aorta	0
excel	0
lunar	0
third	0
slate	0
taper	141
chord	0
probe	0
rival	0
usual	0
spoke	0
apply	56
naive	0
knock	0
braid	0
infer	14
joust	0
amber	141
woken	34
adore	0
torso	0
chafe	0
eject	0
study	0
undue	18
tepid	0
happy	0
clean	0
itchy	0
feast	0
drive	0
prime	0
axiom	0
brave	0
avert	0
glyph	0
there	0
baker	141
snarl	0
maple	0
inane	14
valet	0
medal	0
unite	18
rainy	0
spell	0
begin	0
stale	0
dream	0
photo	0
aloud	0
inept	14
piney	0
aptly	56
waltz	0
libel	0
sneak	0
carry	0
flout	0
foggy	0
fault	0
mummy	0
spiel	0
grove	0
denim	0
quirk	0
exist	0
stein	0
spade	0
catch	0
floor	34
equal	0
ionic	0
valid	0
enjoy	10
howdy	0
vigor	34
dandy	0
sloth	0
marsh	0
bough	0
sting	0
twine	0
leave	0
scorn	0
scald	0
usurp	0
soggy	0
brisk	0
admit	0
grate	0
glory	0
saint	0
recap	36
alike	0
trice	0
stick	0
chute	0
parer	141
doubt	0
thyme	0
alpha	0
booze	0
tibia	0
lofty	46
theme	0
class	0
leery	0
taunt	0
whoop	0
inter	14
gully	56
charm	0
fungi	0
prize	0
onset	0
chief	0
gauze	0
ruder	141
irony	0
clown	0
needy	0
woven	34
merit	0
waste	0
treat	0
shrug	0
twang	0
twice	0
gruel	0
poker	141
khaki	0
hunky	0
label	0
glean	0
cling	0
patty	46
unfit	18
smear	0
alien	34
buggy	0
rhyme	0
youth	0
coyly	56
quart	0
cramp	0
bluff	0
upset	0
stomp	0
motto	0
cinch	0
elope	0
power	141
midge	0
tryst	0
aphid	0
trite	0
angry	0
flock	0
wacky	0
roomy	0
wedge	0
liver	141
bland	0
night	0
madam	0
berth	0
stead	0
voice	0
agape	0
fluff	0
field	0
sever	141
lilac	0
egret	0
pinto	0
hutch	0
gawky	0
droll	0
retro	36
rusty	46
beady	0
smite	0
brink	0
awful	0
gloat	0
input	14
loser	141
cacao	0
blown	0
apron	0
primo	0
atone	0
donor	34
float	0
goose	0
piety	46
girth	0
trait	0
flood	0
gloom	0
depth	0
froth	0
peach	0
showy	0
creak	0
manor	34
atoll	0
bayou	0
crept	0
tiara	0
asset	0
vouch	0
album	0
hinge	0
money	0
scrap	0
gamer	141
glass	0
scour	0
being	0
delve	0
yield	0
metal	0
tipsy	0
slung	0
farce	0
gecko	0
shine	0
canny	0
midst	0
badge	0
homer	141
train	0
hairy	0
story	0
forgo	0
larva	0
trash	0
zesty	46
shown	0
heist	0
askew	0
inert	14
olive	0
plant	0
oxide	0
cargo	0
foyer	141
flair	0
ample	0
cheek	0
shame	0
mince	0
chunk	0
royal	0
squad	0
black	0
stair	0
scare	0
foray	0
comma	0
natal	0
shawl	0
fewer	141
trope	0
snout	0
lowly	56
stove	0
shall	0
found	0
nymph	0
epoxy	0
depot	0
chest	0
purge	0
slosh	0
their	0
renew	36
allow	0
saute	0
movie	0
cater	141
tease	0
smelt	0
focus	0
today	0
watch	0
lapse	0
month	0
sweet	0
hoard	0
cloth	0
brine	0
ahead	0
mourn	0
nasty	46
rupee	0
choke	0
chant	0
spill	0
vivid	0
bloke	0
trove	0
thorn	0
other	141
tacit	0
swill	0
dodge	0
shake	0
caulk	0
aroma	0
cynic	0
robin	0
ultra	0
ulcer	141
pause	0
humor	34
frame	0
elder	141
skill	0
aloft	0
pleat	0
shard	0
moist	0
those	0
light	0
wrung	0
could	0
perky	0
mount	0
whack	0
sugar	0
knoll	0
crimp	0
wince	0
prick	0
robot	0
point	0
proxy	0
shire	0
solar	0
panic	0
tangy	0
abbey	14
favor	34
drink	0
query	0
gorge	0
crank	0
slump	0
